activity,Attack-Killall-v2,Attack-Killer-TCP,Attack-TCP-BYPass-V1,Attack-TCP-Control,Attack-TCP-Flag-ACK,Attack-TCP-Flag-ACK-PSH,Attack-TCP-Flag-MIX,Attack-TCP-Flag-OSYN,Attack-TCP-Flag-OSYNP,Attack-TCP-Flag-RST-ACK,Attack-TCP-Flag-SYN,Attack-TCP-Flag-SYN-ACK,Attack-TCP-Flag-SYN-TFO,Attack-TCP-Flag-SYN-TIME,Attack-TCP-IGMP,Attack-TCP-SYN,Attack-TCP-Valid-SYN
Attack-Killall-v2,1.0000000000000002,-0.23127887176301704,-0.07850596028428529,0.7424242995604345,0.10716625730168206,0.11653175490235625,0.3647632590897829,-0.6343523306084393,-0.5989295354296638,-0.6826754790207819,0.03500334031746992,-0.18286772215752584,-0.6363577477671757,0.14261679119092024,0.2984960019521117,0.32254729567637136,0.5984314958904375
Attack-Killer-TCP,-0.23127887176301704,1.0000000000000002,0.008222153780121973,-0.042288743849735556,0.6753821113914081,0.6520662027316203,0.5177964960042407,-0.31016673558741215,-0.07038503934519008,-0.2730528220032894,0.7349121001318775,0.9031957810216968,-0.4983509170389774,-0.83626415987577,0.5231378646117391,0.6065581468204084,0.13439783684967951
Attack-TCP-BYPass-V1,-0.07850596028428529,0.008222153780121973,1.0,-0.4506499558556852,0.5795412546625598,0.5530767583752216,0.3573768529302305,-0.43340735336293773,-0.5260164809095872,-0.39140964480596097,0.5171599402403372,0.3564176896248503,-0.2641197254280942,-0.45085376730234183,0.32501915432927586,0.4112729919018361,0.3800767842076114
Attack-TCP-Control,0.7424242995604345,-0.042288743849735556,-0.4506499558556852,1.0,-0.09066173503095741,-0.042256702781666766,-0.04998302727558988,-0.2302621010331749,-0.2584714671034488,-0.27839530795162154,-0.1221545501173856,-0.24206378085468563,-0.40559422350905705,0.03367645064117383,0.24732646725958274,0.05234146501244965,0.08998700900255337
Attack-TCP-Flag-ACK,0.10716625730168206,0.6753821113914081,0.5795412546625598,-0.09066173503095741,0.9999999999999999,0.9918716927726947,0.794450640458328,-0.8050163817533681,-0.7305721730837501,-0.7678550712387726,0.9932543529613639,0.8840730259354966,-0.7873231641298456,-0.7997195291325847,0.8675021745199927,0.9485546341111672,0.6795007467062852
Attack-TCP-Flag-ACK-PSH,0.11653175490235625,0.6520662027316203,0.5530767583752216,-0.042256702781666766,0.9918716927726947,0.9999999999999999,0.7744677912727322,-0.8007667837244917,-0.7611364275375123,-0.7589126841700329,0.9855621924431867,0.8529113885256013,-0.7730966685842519,-0.7852448061627105,0.8895249096434268,0.9492943262684838,0.6843936542526189
Attack-TCP-Flag-MIX,0.3647632590897829,0.5177964960042407,0.3573768529302305,-0.04998302727558988,0.794450640458328,0.7744677912727322,1.0000000000000004,-0.8753868927203872,-0.6527556343707787,-0.8319666146198076,0.7788327407200141,0.7139324023437961,-0.8003312616926385,-0.5247337511715028,0.569870360816437,0.9043936978311096,0.8753504745490761
Attack-TCP-Flag-OSYN,-0.6343523306084393,-0.31016673558741215,-0.43340735336293773,-0.2302621010331749,-0.8050163817533681,-0.8007667837244917,-0.8753868927203872,0.9999999999999999,0.9020601420405022,0.9927584907126966,-0.7556709679856658,-0.5552591738737154,0.933554222604785,0.43306018816482783,-0.7671002569226739,-0.9132577314568775,-0.9426124379333106
Attack-TCP-Flag-OSYNP,-0.5989295354296638,-0.07038503934519008,-0.5260164809095872,-0.2584714671034488,-0.7305721730837501,-0.7611364275375123,-0.6527556343707787,0.9020601420405022,1.0000000000000002,0.8977468201236473,-0.6710049788597998,-0.3461007180582988,0.7691179903733508,0.3168616342232506,-0.8053800783328238,-0.8023214166015662,-0.8645502708837871
Attack-TCP-Flag-RST-ACK,-0.6826754790207819,-0.2730528220032894,-0.39140964480596097,-0.27839530795162154,-0.7678550712387726,-0.7589126841700329,-0.8319666146198076,0.9927584907126966,0.8977468201236473,0.9999999999999999,-0.7169518875198517,-0.5113734917285857,0.9413589571280933,0.3770462310744233,-0.7724764588842802,-0.88350951394103,-0.9278963538628362
Attack-TCP-Flag-SYN,0.03500334031746992,0.7349121001318775,0.5171599402403372,-0.1221545501173856,0.9932543529613639,0.9855621924431867,0.7788327407200141,-0.7556709679856658,-0.6710049788597998,-0.7169518875198517,1.0,0.916614736360749,-0.7500406634298986,-0.8095456114203233,0.8624512201194504,0.9392383443277531,0.6346254568130674
Attack-TCP-Flag-SYN-ACK,-0.18286772215752584,0.9031957810216968,0.3564176896248503,-0.24206378085468563,0.8840730259354966,0.8529113885256013,0.7139324023437961,-0.5552591738737154,-0.3461007180582988,-0.5113734917285857,0.916614736360749,0.9999999999999999,-0.6314997577943839,-0.8469819912895783,0.6685815522673216,0.805382595876521,0.41992017662097775
Attack-TCP-Flag-SYN-TFO,-0.6363577477671757,-0.4983509170389774,-0.2641197254280942,-0.40559422350905705,-0.7873231641298456,-0.7730966685842519,-0.8003312616926385,0.933554222604785,0.7691179903733508,0.9413589571280933,-0.7500406634298986,-0.6314997577943839,0.9999999999999998,0.5542067381010704,-0.7930189232459274,-0.8749175749779395,-0.7831211577874891
